,Titre,Language,genre,Directors,Liste acteurs,startYear,averageRating,Poster,weighted_rating
3562,Mermaids,en,Comedy,Richard Benjamin,"['Cher', ' Shelley Fabares', ' Eydie Gormé', ' Cher']",1990,6.0,/tNsXSCYB9UVeznlKjgFPoLt5eke.jpg,5.9990425427417255
3563,The Limey,en,Crime,Steven Soderbergh,"['Terence Stamp', ' Mitch Carter', ' David Crosby', ' Terence Stamp']",1999,6.0,/3WFYpRRP0sHc5XlWfUX7dv9mo5S.jpg,5.99904034673884
3564,L.A. Story,en,Comedy,Mick Jackson,"['Samantha McCoy', ' Pierre Epstein', ' Steve Martin']",1991,6.0,/nWoF3yzKMoisiGybTPx1a4xaIKl.jpg,5.999037885436587
3565,Sid & Nancy,en,Biography,Alex Cox,"['Julie St. Claire', ' Sandy Baron', ' Andy Bradford', ' Gary Oldman']",1986,7.0,/wHzCbMCfipDJ38GW5IyBTWDflMz.jpg,6.984273181525171
3566,Mannequin,en,Comedy,Michael Gottlieb,"['Carole Davis', ' Belinda Carlisle', ' Estelle Getty', ' Andrew McCarthy']",1987,5.0,/y65yXUmG8F8VUsgGvds9POBlqV1.jpg,5.013827340588594
3567,Things to Do in Denver When You're Dead,en,Crime,Gary Fleder,"['Marshall Bell', ' Gabrielle Anwar', ' Harris Laskawy', ' Andy Garcia']",1995,6.0,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,5.998876329427574
3568,Jo Jeeta Wohi Sikandar,en,Comedy,Mansoor Khan,"['Nasir Hussain', ' Faisal Khan', ' Aamir Khan']",1992,8.0,/kWZg6uIKXRlHi8BLcuIYYDPhTAz.jpg,7.957307925909314
3569,Fortress,en,Action,Stuart Gordon,"['Christopher Lambert', ' Bettina Mittendorfer', ' Stuart Gordon', ' Christopher Lambert']",1992,5.0,/nzLFgdPTCmkDXZGFuTsgKGG6oo0.jpg,5.01556583220298
3570,Donnie Brasco,en,Biography,Mike Newell,"['Madison Arnold', ' Anne Heche', ' Mike Newell', ' Al Pacino']",1997,7.0,/xtKLvpOfARi1XVm8u2FTdhY5Piq.jpg,6.998311263651161
3571,The Rock,en,Action,Michael Bay,"['Luenell', ' Nicolas Cage', ' Vanessa Marcil', ' Sean Connery']",1996,7.0,/pAVaLJQBRM4JlZEGXvezwbxOd15.jpg,6.998457518329548
3572,Mission: Impossible II,en,Action,John Woo,"['Ving Rhames', ' Nicholas Bell', ' Tom Cruise']",2000,6.0,/eRaEC0vf5q5TSvaoJPwGTt2wa9T.jpg,5.999906945234747
3573,Eyes Wide Shut,en,Drama,Stanley Kubrick,"['Chris Isaak', ' Charles Aznavour', ' Tony DeSergio', ' Tom Cruise']",1999,7.0,/zTuqPq1PBsIoG2DV9NgKPgdaoSX.jpg,6.998485418548802
3574,10 Things I Hate About You,en,Comedy,Gil Junger,"['Heath Ledger', ' Joan Armatrading', ' Andrew Keegan', ' Heath Ledger']",1999,7.0,/paS5plbzKz3PYddxky6svYYz3hS.jpg,6.998498026393855
3575,Jumanji,en,Adventure,Joe Johnston,"['Laura Bell Bundy', ' Malcolm Stewart', ' Bonnie Hunt', ' Robin Williams']",1995,7.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,6.99850205612241
3576,The Untouchables,en,Crime,Brian De Palma,"['Sean Connery', ' John Bracci', ' Brian De Palma', ' Kevin Costner']",1987,7.0,/qx4CDBhJDX5LQoVZ8UXPxQy5pt7.jpg,6.998320332857873
3577,The Patriot,en,Action,Roland Emmerich,"['Joely Richardson', ' Adam Baldwin', ' Jason Isaacs', ' Mel Gibson']",2000,7.0,/tgXOraQmKatqrVs2KMgnNn6QpO.jpg,6.998107946062315
3578,Liar Liar,en,Comedy,Tom Shadyac,"['Jason Bernard', ' Maura Tierney', ' Amanda Donohoe', ' Jim Carrey']",1997,6.0,/qd8VcWKrE4cNfInl9Osb8o8h9KP.jpg,5.999897054816052
3579,Starship Troopers,en,Action,Paul Verhoeven,"['Clancy Brown', ' Neil Patrick Harris', ' Michael Ironside', ' Casper Van Dien']",1997,7.0,/zeCD9WkhABFJmPq3SlTozXJGEtr.jpg,6.998242676757764
3580,Almost Famous,en,Adventure,Cameron Crowe,"['Bernie Taupin', ' Cameron Crowe', ' Billy Crudup']",2000,7.0,/9pNo92j6zSEAUB8pNmcJTkpnkBF.jpg,6.998114309577551
